"Story","Title","Result","Date","Stability","Duration (s)"
"login","Login Sucessfull","FAILURE","2023-09-27T11:38:44.7596959-05:00[America/Bogota]","0.0","5.54"
"Register","register successful","SUCCESS","2023-09-22T15:51:53.95-05:00[America/Bogota]","0.0","53.15"
"Register","Successful registration","SUCCESS","2023-09-28T08:52:25.2223809-05:00[America/Bogota]","0.0","10.8"
"Register","Social Networks","PENDING","2023-09-28T08:52:36.0251591-05:00[America/Bogota]","0.0","0.05"
