"Story","Title","Result","Date","Stability","Duration (s)"
"Register","register successful","SUCCESS","2023-09-22T15:51:53.95-05:00[America/Bogota]","0.0","53.15"
"Register","Successful registration","SUCCESS","2023-09-28T08:52:25.2223809-05:00[America/Bogota]","0.0","10.8"
