"Story","Title","Result","Date","Stability","Duration (s)"
"Register","register successful","SUCCESS","2023-09-22T15:51:53.95-05:00[America/Bogota]","0.0","53.15"
"Register","Successful registration","SUCCESS","2023-09-27T19:38:43.8824053-05:00[America/Bogota]","0.0","9.55"
"Register","Social Networks","PENDING","2023-09-27T19:38:53.4417877-05:00[America/Bogota]","0.0","0.05"
